,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
PLEC,2.77E-05,0.267355715,0.403965586,0.595471879,5.2700903,1.36E-07,TRUE,TRUE
DIO2,3.11E-05,0.104358145,0.055100344,-0.921409979,-3.832702142,0.000126743,TRUE,TRUE
ESRRG,3.45E-05,0.676301705,0.571834257,-0.24206994,-2.181136338,0.029173334,FALSE,FALSE
SPDYE2,3.78E-05,0.167092139,0.094900781,-0.816151993,-1.147897886,0.251010721,TRUE,FALSE
HMGN3,4.03E-05,0.491135714,0.377787776,-0.378545712,-2.159896103,0.030780714,TRUE,FALSE
SPDYE3,4.03E-05,0.132050217,0.079645112,-0.729428952,-2.782717362,0.005390574,TRUE,FALSE
GLUD1,4.03E-05,0.861470662,0.713899759,-0.271080149,-2.001122088,0.045379235,TRUE,FALSE
ZNF98,4.03E-05,1.221476861,1.040414505,-0.231468117,-1.27741448,0.201455955,FALSE,FALSE
VDAC3,4.15E-05,0.178450976,0.121615304,-0.553202998,-3.002402665,0.002678576,TRUE,FALSE
FAM155A,4.15E-05,2.006297289,1.762239723,-0.187125205,-4.895313343,9.81E-07,FALSE,FALSE
NR2F1,4.43E-05,0.134744702,0.220067845,0.707719815,5.067590142,4.03E-07,TRUE,TRUE
ADCY2,4.94E-05,1.967921316,2.408506297,0.291466158,2.479405354,0.013160165,TRUE,FALSE
ACSS1,5.60E-05,0.818534436,0.6537943,-0.324206314,-3.498040896,0.000468689,TRUE,FALSE
FBXL7,6.35E-05,1.825929668,1.582123965,-0.206768552,-3.40949132,0.000650841,FALSE,FALSE
BRINP2,6.78E-05,0.268291086,0.212799923,-0.334301494,-4.248835561,2.15E-05,TRUE,TRUE
VSNL1,0.000108296,0.094200117,0.053655939,-0.811990982,-4.081778751,4.47E-05,TRUE,TRUE
DST,0.000108849,2.217319959,2.488625631,0.166532253,2.421903027,0.01543947,FALSE,FALSE
CCK,0.000148352,0.167792505,0.106517805,-0.655583678,-2.232962506,0.025551417,TRUE,FALSE
PLCB1,0.000157102,1.244605415,1.095536185,-0.184051292,-3.180618163,0.001469612,FALSE,FALSE
COL21A1,0.000157799,0.115836114,0.193509521,0.740319441,3.425274045,0.00061418,TRUE,FALSE
PLCE1,0.000157799,0.111514554,0.210511957,0.916670167,4.613874741,3.95E-06,TRUE,TRUE
CD81,0.000165666,0.425239746,0.575974945,0.437729607,3.070938438,0.002133871,TRUE,FALSE
CTNND2,0.000184942,3.929369751,4.436062667,0.174981815,2.694779921,0.007043514,FALSE,FALSE
MOXD1,0.000211449,0.135244005,0.091605077,-0.562065185,-2.351242951,0.018710813,TRUE,FALSE
MERTK,0.000243396,0.540883724,0.426429595,-0.34301092,-2.894720048,0.003794968,TRUE,FALSE
CRYL1,0.000252655,0.163932701,0.119641831,-0.454381777,-3.460286031,0.000539602,TRUE,FALSE
CNTNAP2,0.00026726,0.25563151,0.193020879,-0.405308768,-4.348437501,1.37E-05,TRUE,TRUE
ELAVL1,0.000276571,0.273340782,0.189639162,-0.5274438,-2.573169118,0.010077195,TRUE,FALSE
CPE,0.000294888,1.865078198,2.238283074,0.263156384,4.624368009,3.76E-06,TRUE,TRUE
PTN,0.000332397,0.910897542,0.771406731,-0.239797054,-2.956374289,0.003112791,FALSE,FALSE
FRMD4A,0.000332397,0.517933902,0.412179393,-0.329495618,-3.544304367,0.000393651,TRUE,TRUE
GRID1,0.000332397,0.431012054,0.344755092,-0.322156357,-3.315101437,0.000916099,TRUE,FALSE
IL1RAPL1,0.00033596,0.134609234,0.089690858,-0.585744536,-3.858476128,0.000114096,TRUE,TRUE
AEBP1,0.00036006,0.184947183,0.308665055,0.738928832,3.368351432,0.000756191,TRUE,FALSE
GRM7,0.000370671,0.141551324,0.092382518,-0.615633467,-2.141637101,0.032222696,TRUE,FALSE
