"ENSEMBL","HGNC"
"ENSG00000228624","HDAC2-AS2"
"ENSG00000228775","WEE2-AS1"
"ENSG00000228894","HCG18"
"ENSG00000229283",""
"ENSG00000229525",""
"ENSG00000229619","MBNL1-AS1"
"ENSG00000229653","ZNRD1ASP"
"ENSG00000229732",""
"ENSG00000230258",""
"ENSG00000230487","PSMG3-AS1"
"ENSG00000230513","THAP7-AS1"
"ENSG00000230541","HCG21"
"ENSG00000230660","HCG18"
"ENSG00000230970","HHATL-AS1"
"ENSG00000231028","LINC00271"
"ENSG00000231064",""
"ENSG00000231074","HCG18"
"ENSG00000231105",""
"ENSG00000231154","MORF4L2-AS1"
"ENSG00000231591",""
"ENSG00000231840",""
"ENSG00000231889","TRAF3IP2-AS1"
"ENSG00000232307","DAOA-AS1"
"ENSG00000232354","VIPR1-AS1"
"ENSG00000232377",""
"ENSG00000232530","LIF-AS1"
"ENSG00000232586","KIAA1614-AS1"
"ENSG00000232691","ZNRD1ASP"
"ENSG00000232729",""
"ENSG00000232807",""
"ENSG00000232811",""
"ENSG00000232871","SEC1P"
"ENSG00000232973","CYP1B1-AS1"
"ENSG00000232995",""
"ENSG00000233009","NALCN-AS1"
"ENSG00000233058","LINC00884"
"ENSG00000233089",""
"ENSG00000233140",""
"ENSG00000233175",""
"ENSG00000233251",""
"ENSG00000233296",""
"ENSG00000233452","STXBP5-AS1"
"ENSG00000233529","HCG21"
"ENSG00000233818",""
"ENSG00000233875",""
"ENSG00000233885","YEATS2-AS1"
"ENSG00000234076","TPRG1-AS1"
"ENSG00000234327",""
"ENSG00000234365",""
"ENSG00000234377","OBI1-AS1"
"ENSG00000234608","MAPKAPK5-AS1"
"ENSG00000234775",""
"ENSG00000234893","HCG18"
"ENSG00000234899","SOX9-AS1"
"ENSG00000235042",""
"ENSG00000235092","ID2-AS1"
"ENSG00000235394","ZNRD1ASP"
"ENSG00000235415",""
"ENSG00000235426",""
"ENSG00000235455","IQCF5-AS1"
"ENSG00000235540",""
"ENSG00000235703","LINC00894"
"ENSG00000235706","DICER1-AS1"
"ENSG00000235727","HCG18"
"ENSG00000235747","HCG21"
"ENSG00000235814","ZNRD1ASP"
"ENSG00000235865","GSN-AS1"
"ENSG00000235897","TM4SF19-AS1"
"ENSG00000235954","TTC28-AS1"
"ENSG00000236295",""
"ENSG00000236311","TLX1NB"
"ENSG00000236333","TRHDE-AS1"
"ENSG00000236404","VLDLR-AS1"
"ENSG00000236432",""
"ENSG00000236526",""
"ENSG00000236598","ZNRD1ASP"
"ENSG00000236778","INTS6-AS1"
"ENSG00000237037","NDUFA6-DT"
"ENSG00000237054","PRMT5-AS1"
"ENSG00000237341","SYP-AS1"
"ENSG00000237357",""
"ENSG00000237499","WAKMAR2"
"ENSG00000237596",""
"ENSG00000237714","P4HA2-AS1"
"ENSG00000237773",""
"ENSG00000237819",""
"ENSG00000237945","LINC00649"
"ENSG00000238164","TNFRSF14-AS1"
"ENSG00000239665",""
"ENSG00000240498","CDKN2B-AS1"
"ENSG00000240541","TM4SF1-AS1"
"ENSG00000242049","DNAJB8-AS1"
"ENSG00000242153","OFD1P6Y"
"ENSG00000242396",""
"ENSG00000243150",""
"ENSG00000244302","PEX5L-AS2"
"ENSG00000244968","LIFR-AS1"
"ENSG00000245293",""
"ENSG00000245330",""
"ENSG00000245482",""
"ENSG00000245498",""
"ENSG00000245552",""
"ENSG00000245573","BDNF-AS"
"ENSG00000245748",""
"ENSG00000245768",""
"ENSG00000245904",""
"ENSG00000245958",""
"ENSG00000246022","ALDH1L1-AS2"
"ENSG00000246089",""
"ENSG00000246273","SBF2-AS1"
"ENSG00000246339","EXTL3-AS1"
"ENSG00000246477",""
"ENSG00000246627","CACNA1C-AS1"
"ENSG00000246777",""
"ENSG00000247081","BAALC-AS1"
"ENSG00000247137",""
"ENSG00000247363",""
"ENSG00000247699",""
"ENSG00000247708","STX18-AS1"
"ENSG00000247775","SNCA-AS1"
"ENSG00000247867",""
"ENSG00000247950","SEC24B-AS1"
"ENSG00000248445","SEMA6A-AS1"
"ENSG00000248636",""
"ENSG00000248714",""
"ENSG00000248724","NPHP3-AS1"
"ENSG00000248936",""
"ENSG00000248968",""
"ENSG00000249035","CLMAT3"
"ENSG00000249085",""
"ENSG00000249341",""
"ENSG00000249635",""
"ENSG00000249673","NOP14-AS1"
"ENSG00000250033","SLC7A11-AS1"
"ENSG00000250159",""
"ENSG00000250548","LINC01303"
"ENSG00000250615",""
"ENSG00000250616",""
"ENSG00000250802","ZBED3-AS1"
"ENSG00000250900",""
"ENSG00000250910",""
"ENSG00000250929","LINC01181"
"ENSG00000250938",""
"ENSG00000251022","THAP9-AS1"
"ENSG00000251173","UCHL1-AS1"
"ENSG00000251314",""
"ENSG00000251405",""
"ENSG00000253102",""
"ENSG00000253174",""
"ENSG00000253320","AZIN1-AS1"
"ENSG00000253348",""
"ENSG00000253559","OSGEPL1-AS1"
"ENSG00000253645",""
"ENSG00000253720",""
"ENSG00000253972","MAL2-AS1"
"ENSG00000254192",""
"ENSG00000254236",""
"ENSG00000254333","NDST1-AS1"
"ENSG00000254485",""
"ENSG00000254528",""
"ENSG00000255136",""
"ENSG00000255244",""
"ENSG00000255282","WTAPP1"
"ENSG00000255311",""
"ENSG00000255389",""
"ENSG00000255435",""
"ENSG00000255517",""
"ENSG00000255808",""
"ENSG00000256072",""
"ENSG00000256262","USP30-AS1"
"ENSG00000256357",""
"ENSG00000257002",""
"ENSG00000257275",""
"ENSG00000257551","HLX-AS1"
"ENSG00000257809",""
"ENSG00000257815",""
"ENSG00000257830",""
"ENSG00000258301","VASH1-AS1"
"ENSG00000258334",""
"ENSG00000258435",""
"ENSG00000258520",""
"ENSG00000258573",""
"ENSG00000259118",""
"ENSG00000259291","ZNF710-AS1"
"ENSG00000259353",""
"ENSG00000259407",""
"ENSG00000259462","CPEB1-AS1"
"ENSG00000259673","IQCH-AS1"
"ENSG00000259867",""
"ENSG00000259954","IL21R-AS1"
"ENSG00000260083","MIR762HG"
"ENSG00000260249",""
"ENSG00000260276",""
"ENSG00000260277",""
"ENSG00000260500",""
"ENSG00000260630","SNAI3-AS1"
"ENSG00000260681",""
"ENSG00000260779",""
"ENSG00000260852","FBXL19-AS1"
"ENSG00000260934",""
"ENSG00000260978",""
"ENSG00000261002",""
"ENSG00000261136",""
"ENSG00000261312",""
"ENSG00000261351",""
"ENSG00000261519",""
"ENSG00000261570",""
"ENSG00000261664","TTC39A-AS1"
"ENSG00000262050",""
"ENSG00000263400","TMEM220-AS1"
"ENSG00000263765",""
"ENSG00000264177",""
"ENSG00000264273",""
"ENSG00000264443","NCMAP-DT"
"ENSG00000264449",""
"ENSG00000264589","MAPT-AS1"
"ENSG00000265148","TSPOAP1-AS1"
"ENSG00000265205",""
"ENSG00000265254",""
"ENSG00000265666","RARA-AS1"
"ENSG00000265749",""
"ENSG00000266304","LIVAR"
"ENSG00000266642",""
"ENSG00000266903",""
"ENSG00000266978",""
"ENSG00000267092",""
"ENSG00000267121",""
"ENSG00000267128","RNF157-AS1"
"ENSG00000267166",""
"ENSG00000267288",""
"ENSG00000267291",""
"ENSG00000267387",""
"ENSG00000267439",""
"ENSG00000267498",""
"ENSG00000267633",""
"ENSG00000267769",""
"ENSG00000268030",""
"ENSG00000268061","NAPA-AS1"
"ENSG00000268603",""
"ENSG00000268873",""
"ENSG00000268938",""
"ENSG00000269145",""
"ENSG00000269243",""
"ENSG00000269420","PLA2G4C-AS1"
"ENSG00000269939","PCF11-AS1"
"ENSG00000269956","MKNK1-AS1"
"ENSG00000270412",""
"ENSG00000271725",""
"ENSG00000271980",""
"ENSG00000272145","NFYC-AS1"
"ENSG00000272202",""
"ENSG00000272288",""
"ENSG00000272405",""
"ENSG00000272476",""
"ENSG00000272578",""
"ENSG00000272694",""
"ENSG00000272711",""
"ENSG00000272734","ADIRF-AS1"
"ENSG00000272894",""
"ENSG00000272994",""
"ENSG00000273080",""
"ENSG00000273151",""
"ENSG00000273382",""
"ENSG00000273432",""
"ENSG00000273485",""
"ENSG00000173811","CCDC13-AS1"
"ENSG00000177112","MRVI1-AS1"
"ENSG00000177553",""
"ENSG00000181123",""
"ENSG00000183822","NCF4-AS1"
"ENSG00000184068","SREBF2-AS1"
"ENSG00000184441",""
"ENSG00000186056","MATN1-AS1"
"ENSG00000196295","GARS-DT"
"ENSG00000196810","CTBP1-DT"
"ENSG00000196893",""
"ENSG00000197251","LINC00336"
"ENSG00000204044","SLC12A5-AS1"
"ENSG00000204380","PKP4-AS1"
"ENSG00000204584",""
"ENSG00000204706","MAMDC2-AS1"
"ENSG00000204758",""
"ENSG00000205231","TTLL10-AS1"
"ENSG00000205790","DPP9-AS1"
"ENSG00000205885","C1RL-AS1"
"ENSG00000205913","SRRM2-AS1"
"ENSG00000206249",""
"ENSG00000214184","GCC2-AS1"
"ENSG00000214353","VAC14-AS1"
"ENSG00000214548","MEG3"
"ENSG00000223440",""
"ENSG00000223697",""
"ENSG00000223797","ENTPD3-AS1"
"ENSG00000223960","CHROMR"
"ENSG00000224043","CCNT2-AS1"
"ENSG00000224093",""
"ENSG00000224165","DNAJC27-AS1"
"ENSG00000224347","SCEL-AS1"
"ENSG00000224721",""
"ENSG00000224883",""
"ENSG00000224888",""
"ENSG00000224970",""
"ENSG00000225032",""
"ENSG00000225038","TRIM31-AS1"
"ENSG00000225177",""
"ENSG00000225284",""
"ENSG00000225313",""
"ENSG00000225315",""
"ENSG00000225335",""
"ENSG00000225721",""
"ENSG00000225732","TRIM31-AS1"
"ENSG00000225756","DBH-AS1"
"ENSG00000225798",""
"ENSG00000225855","RUSC1-AS1"
"ENSG00000225936",""
"ENSG00000225953","SATB2-AS1"
"ENSG00000225988","LAMP5-AS1"
"ENSG00000226017","PRICKLE2-AS3"
"ENSG00000226200","SGMS1-AS1"
"ENSG00000226367","ST7-AS2"
"ENSG00000226377",""
"ENSG00000226526",""
"ENSG00000226648","PLCG1-AS1"
"ENSG00000226679",""
"ENSG00000226806",""
"ENSG00000226871",""
"ENSG00000227053",""
"ENSG00000227480","CCDC148-AS1"
"ENSG00000227492",""
"ENSG00000227495",""
"ENSG00000227660","UST-AS1"
"ENSG00000227906","SNAP25-AS1"
"ENSG00000227945",""
"ENSG00000228237","EFCAB14-AS1"
"ENSG00000228322",""
"ENSG00000228838",""
"ENSG00000228925",""
"ENSG00000229124","VIM-AS1"
"ENSG00000229127",""
"ENSG00000229190",""
"ENSG00000229223","TRIM31-AS1"
"ENSG00000229258","LPGAT1-AS1"
"ENSG00000229664",""
"ENSG00000229821",""
"ENSG00000229867","STEAP3-AS1"
"ENSG00000230082","PRRT3-AS1"
"ENSG00000230091","TMEM254-AS1"
"ENSG00000230333",""
"ENSG00000230432",""
"ENSG00000230550","ERLNC1"
"ENSG00000230729",""
"ENSG00000230918",""
"ENSG00000231160","KLF3-AS1"
"ENSG00000231226","TRIM31-AS1"
"ENSG00000231329",""
"ENSG00000231638","LUARIS"
"ENSG00000231721","LINC-PINT"
"ENSG00000231728","TMSB15B-AS1"
"ENSG00000231731",""
"ENSG00000231749","ABCA9-AS1"
"ENSG00000231890","DARS-AS1"
"ENSG00000231933",""
"ENSG00000232160","RAP2C-AS1"
"ENSG00000232284","GNG12-AS1"
"ENSG00000232415","ELN-AS1"
"ENSG00000232510","TRIM31-AS1"
"ENSG00000232671","ZNF687-AS1"
"ENSG00000232675",""
"ENSG00000232754",""
"ENSG00000232828",""
"ENSG00000233006","MIR3936HG"
"ENSG00000233230",""
"ENSG00000233392",""
"ENSG00000233611",""
"ENSG00000233766",""
"ENSG00000234028","EIF2AK3-DT"
"ENSG00000234055",""
"ENSG00000234171","RNASEH1-AS1"
"ENSG00000234452","SLC16A12-AS1"
"ENSG00000234497","ERICH3-AS1"
"ENSG00000234678","ELF3-AS1"
"ENSG00000234859",""
"ENSG00000234945","GTF3C2-AS1"
"ENSG00000235033",""
"ENSG00000235066",""
"ENSG00000235079","ZRANB2-AS1"
"ENSG00000235191","NUCB1-AS1"
"ENSG00000235237",""
"ENSG00000235381",""
"ENSG00000235513",""
"ENSG00000235530",""
"ENSG00000235531","MSC-AS1"
"ENSG00000235563",""
"ENSG00000235722","TRIM31-AS1"
"ENSG00000235790",""
"ENSG00000235919","ASH1L-AS1"
"ENSG00000236051","MYCBP2-AS1"
"ENSG00000236107","SCN1A-AS1"
"ENSG00000236304",""
"ENSG00000236364",""
"ENSG00000236467","KCNMA1-AS1"
"ENSG00000236514",""
"ENSG00000236548","RNF217-AS1"
"ENSG00000236666","POTEH-AS1"
"ENSG00000236869","ZKSCAN7-AS1"
"ENSG00000236986",""
"ENSG00000237017",""
"ENSG00000237031",""
"ENSG00000237050","TRIM31-AS1"
"ENSG00000237232","ZNF295-AS1"
"ENSG00000237250",""
"ENSG00000237581",""
"ENSG00000237737","DCTN1-AS1"
"ENSG00000237781",""
"ENSG00000237813",""
"ENSG00000237840","FAM21FP"
"ENSG00000237975","FLG-AS1"
"ENSG00000238027","TRIM31-AS1"
"ENSG00000238133","MAP3K20-AS1"
"ENSG00000239523","MYLK-AS1"
"ENSG00000239994",""
"ENSG00000240207",""
"ENSG00000240401",""
"ENSG00000240591",""
"ENSG00000241666",""
"ENSG00000241764",""
"ENSG00000242391",""
"ENSG00000242428","C3orf67-AS1"
"ENSG00000242593",""
"ENSG00000242600","MBL1P"
"ENSG00000243055","GK-AS1"
"ENSG00000243069","ARHGEF26-AS1"
"ENSG00000243715","CACNA2D3-AS1"
"ENSG00000243799","PEX5L-AS1"
"ENSG00000244040","IL12A-AS1"
"ENSG00000244055",""
"ENSG00000244158",""
"ENSG00000244198",""
"ENSG00000244502","HDAC11-AS1"
"ENSG00000244558","KCNK15-AS1"
"ENSG00000245008",""
"ENSG00000245148","ARAP1-AS2"
"ENSG00000245156",""
"ENSG00000245261",""
"ENSG00000245322",""
"ENSG00000245614","DDX11-AS1"
"ENSG00000246740","PLA2G4E-AS1"
"ENSG00000246889",""
"ENSG00000247373","TMED2-DT"
"ENSG00000247572","CKMT2-AS1"
"ENSG00000247675","LRP4-AS1"
"ENSG00000247735",""
"ENSG00000248049","UBA6-AS1"
"ENSG00000248309","MEF2C-AS1"
"ENSG00000248429","FAM198B-AS1"
"ENSG00000248492","ZFAT-AS1"
"ENSG00000248996",""
"ENSG00000249637",""
"ENSG00000249695",""
"ENSG00000249825",""
"ENSG00000250132",""
"ENSG00000250167",""
"ENSG00000250286",""
"ENSG00000250309",""
"ENSG00000250365",""
"ENSG00000250511",""
"ENSG00000251143",""
"ENSG00000251450","RASGRF2-AS1"
"ENSG00000253215",""
"ENSG00000253267","DLGAP2-AS1"
"ENSG00000253406",""
"ENSG00000253553",""
"ENSG00000253563","NKX2-1-AS1"
"ENSG00000253607",""
"ENSG00000253618","GRPEL2-AS1"
"ENSG00000253647",""
"ENSG00000253868","FER1L6-AS2"
"ENSG00000253961",""
"ENSG00000254042",""
"ENSG00000254561",""
"ENSG00000254602",""
"ENSG00000254693",""
"ENSG00000254768",""
"ENSG00000254846",""
"ENSG00000254964",""
"ENSG00000254966",""
"ENSG00000255119",""
"ENSG00000255201",""
"ENSG00000255438",""
"ENSG00000255507","UVRAG-DT"
"ENSG00000255542",""
"ENSG00000255680",""
"ENSG00000255958",""
"ENSG00000255959",""
"ENSG00000256339",""
"ENSG00000256699","TMEM132D-AS2"
"ENSG00000256789",""
"ENSG00000257045",""
"ENSG00000257097","CLIP1-AS1"
"ENSG00000257176",""
"ENSG00000257279",""
"ENSG00000257346",""
"ENSG00000257433",""
"ENSG00000257452",""
"ENSG00000257467","PPFIA2-AS1"
"ENSG00000257495","KRT73-AS1"
"ENSG00000257500",""
"ENSG00000257671","KRT7-AS"
"ENSG00000257711",""
"ENSG00000257913","DDN-AS1"
"ENSG00000257985",""
"ENSG00000258086",""
"ENSG00000258122",""
"ENSG00000258253",""
"ENSG00000258584","FAM181A-AS1"
"ENSG00000258604",""
"ENSG00000258655","ARHGAP5-AS1"
"ENSG00000258672",""
"ENSG00000258876","TGFB3-AS1"
"ENSG00000259031",""
"ENSG00000259175",""
"ENSG00000259298",""
"ENSG00000259326",""
