#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	3.11488623004669	137
10	0.0609756644692644	2
100	5.67627823224971	217
1000	15.6366432599868	1754
10000	15.9506427884515	3209
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0.0499408893694162	1
100009676	1.02253433599848	71
10001	5.97199255046855	358
10002	0.156845605675823	11
10003	5.7865127168594	508
100033413	0.413943041783615	1
100033414	0	0
100033415	0	0
100033416	9.83325919665566	24
100033417	0	0
100033418	0.409719133193986	1
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	1.28146196977693	3
100033425	0	0
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0	0
100033431	0.427153989925645	1
100033432	1.28146196977693	3
100033433	1.28146196977693	3
100033434	0.85430797985129	2
100033435	0.427153989925645	1
100033436	0	0
100033437	0	0
100033438	1.22915739958196	3
100033439	0.427153989925645	1
100033440	0	0
100033441	0.979328659829527	2
100033442	0	0
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0	0
100033448	0	0
100033449	0	0
100033450	2.44832164957382	5
100033451	0	0
100033453	0.991419137111373	2
100033454	0	0
100033455	0.489664329914763	1
100033456	0.489664329914763	1
100033458	0.489664329914763	1
100033460	1.46899298974429	3
100033603	0	0
100033799	0	0
100033800	0	0
100033801	0	0
100033802	1.46899298974429	3
100033803	0	0
100033804	0	0
100033805	0.489664329914763	1
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0.489664329914763	1
100033810	0	0
100033811	0	0
100033812	0	0
100033813	0	0
100033814	0.979328659829527	2
100033815	0	0
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0	0
100033821	0.472382059447184	1
100033822	0	0
100034743	0.226317379349989	12
100036563	0	0
100036564	0	0
100036565	0	0
100036566	4.54556321354837	6
100036567	0	0
100037417	4.4960446215265	418
100038246	0	0
10004	0.597729438824125	40
100048912	0.123956821583742	13
100049076	0.39833804616082	5
100049587	2.63203114015551	141
100049716	1.39108232647299	81
10005	19.3862195427793	590
10006	20.7142535495934	1948
10007	13.3540477585378	887
100073347	0.561137073722198	18
10008	1.9226103689878	147
10009	5.36777580260545	710
100093630	35.5469407577541	548
100093631	0.971787074990356	88
100093698	0	0
1001	0.835727380663691	89
10010	7.05400009543073	510
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0.137665628753179	3
100101266	0.831844104683885	26
100101267	2.78510972095373	487
100101467	6.5440376948699	722
100101490	2.05787416839029	43
100101629	0	0
100101938	0	0
10011	9.37018310410086	491
100113378	0	0
100113379	0	0
100113380	3.76429453621974	9
