#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	4.19465885611971	256
10	0.219715960157656	10
100	9.50100478449037	504
1000	15.4705402802518	2408
10000	13.9739595453986	3901
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	0.736907470820013	71
10001	6.19125253663196	515
10002	0.174688232669381	17
10003	5.09776556104001	621
100033413	0.298315380956323	1
100033414	0.596630761912646	2
100033415	0	0
100033416	5.01961288976507	17
100033417	0	0
100033418	0.590542692913537	2
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0.307836084603865	1
100033425	0.61567216920773	2
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0.307836084603865	1
100033430	0.307836084603865	1
100033431	0.307836084603865	1
100033432	1.53918042301933	5
100033433	0.923508253811596	3
100033434	0	0
100033435	1.53918042301933	5
100033436	0	0
100033437	0.705770535433252	2
100033438	0	0
100033439	0	0
100033440	0	0
100033441	0.705770535433252	2
100033442	0.352885267716626	1
100033443	1.05865580314988	3
100033444	0	0
100033445	0	0
100033446	0.352885267716626	1
100033447	0	0
100033448	0	0
100033449	0.352885267716626	1
100033450	1.05865580314988	3
100033451	0.357241875960041	1
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	1.05865580314988	3
100033603	0.357241875960041	1
100033799	0.352885267716626	1
100033800	0	0
100033801	0	0
100033802	0.352885267716626	1
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0.352885267716626	1
100033809	0.705770535433252	2
100033810	0	0
100033811	0	0
100033812	0.352885267716626	1
100033813	0	0
100033814	1.05865580314988	3
100033815	0.352885267716626	1
100033816	0.705770535433252	2
100033817	0	0
100033818	0.705770535433252	2
100033819	0	0
100033820	0.311146150029713	1
100033821	0	0
100033822	0	0
100034743	0.190282896824184	14
100036563	0.407557633137512	1
100036564	1.14223389287224	3
100036565	0	0
100036566	5.45973433071006	10
100036567	0	0
100037417	4.99975939178472	645
100038246	0	0
10004	0.549224484403026	51
100048912	0.109946680418954	16
100049076	0.459310983377196	8
100049587	1.95063032689479	145
100049716	2.04214613866807	165
10005	22.187877790294	937
10006	19.7636309973985	2579
10007	14.4520211777581	1332
100073347	0.696455241099117	31
10008	1.37613759775357	146
10009	5.15965968353735	947
100093630	53.198451764531	1138
100093631	0.955003034744664	120
100093698	0	0
1001	0.900038991982583	133
10010	6.06043675758874	608
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0.132281563212632	4
100101266	0.99145295136958	43
100101267	2.39455347166436	581
100101467	5.97021332840309	914
100101490	1.65549036201745	48
100101629	0	0
100101938	0.0310645109530471	4
10011	12.4465854169443	905
100113378	0.301422832841285	1
100113379	0.635969053906887	2
100113380	1.80853699704771	6
100113381	4.97833840047541	16
100113382	0	0
100113384	1.64412454277064	5
100113386	1.95287557004087	241
100113389	0	0
100113391	0	0
100113392	0.258362428149673	1
100113393	0.842813357847476	3
100113402	0	0
100113403	1.40908621683021	28
100113404	0	0
100113407	6.00882279109444	1747
100124412	0	0
100124516	11.5746367811053	36
