#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	1.86095784990503	134
10	0.148979547045288	8
100	3.41922618730861	214
1000	16.101835303264	2957
10000	12.8275968388334	4225
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0.0305046740451872	1
100009676	1.11720633335939	127
10001	5.56338339470396	546
10002	0.139350897342787	16
10003	3.4231696177891	492
100033413	0	0
100033414	0	0
100033415	0	0
100033416	6.5068337371489	26
100033417	0	0
100033418	0.250262836044189	1
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0.260912318429048	1
100033425	0	0
100033426	0.260912318429048	1
100033427	0	0
100033428	0.260912318429048	1
100033429	0	0
100033430	0.260912318429048	1
100033431	1.04364927371619	4
100033432	1.56547391057429	6
100033433	0	0
100033434	0.260912318429048	1
100033435	1.04364927371619	4
100033436	0.260912318429048	1
100033437	0	0
100033438	0	0
100033439	1.56547391057429	6
100033440	0	0
100033441	0.598189217861719	2
100033442	0.299094608930859	1
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0.302787134967043	1
100033448	0	0
100033449	0	0
100033450	2.09366226251602	7
100033451	0	0
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	0.897283826792579	3
100033603	0.908361404901129	3
100033799	0.299094608930859	1
100033800	0	0
100033801	0	0
100033802	0.299094608930859	1
100033803	0	0
100033804	0.598189217861719	2
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0.299094608930859	1
100033810	0	0
100033811	0.299094608930859	1
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0.299094608930859	1
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0.26371782722936	1
100033821	0	0
100033822	0.322707341214875	1
100034743	0.103678638511496	9
100036563	0	0
100036564	0	0
100036565	0	0
100036566	4.62750149666613	10
100036567	0	0
100037417	4.03397143596328	614
100038246	0	0
10004	0.921883718334715	101
100048912	0.192199005406532	33
100049076	1.02190658051377	21
100049587	6.69298926372757	587
100049716	2.97917675482543	284
10005	15.7350198191056	784
10006	29.2412505856334	4502
10007	13.0399417877933	1418
100073347	0.323709537926722	17
10008	4.24207734920765	531
10009	6.03099978528029	1306
100093630	37.244285066867	940
100093631	1.6121166517676	239
100093698	0	0
1001	0.694017004165572	121
10010	10.8646657598956	1286
100101115	0	0
100101116	0	0
100101117	0	0
