#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	2.51047497030947	85
10	0.118812777638122	3
100	4.72317557280511	139
1000	17.8340511656369	1540
10000	14.1470600839874	2191
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	0.486416443314751	26
10001	4.4422749993946	205
10002	0.148178435747544	8
10003	7.13206982203443	482
100033413	0	0
100033414	0	0
100033415	0	0
100033416	9.0479567297276	17
100033417	0	0
100033418	1.59669824642252	3
100033419	0	0
100033420	0.537719684362223	1
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0	0
100033425	0	0
100033426	0.554880950884421	1
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0	0
100033431	1.10976190176884	2
100033432	1.66464285265326	3
100033433	0	0
100033434	0.554880950884421	1
100033435	0.554880950884421	1
100033436	1.10976190176884	2
100033437	0	0
100033438	0	0
100033439	0.554880950884421	1
100033440	0	0
100033441	0.636083041257751	1
100033442	0	0
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0	0
100033448	0	0
100033449	0	0
100033450	3.81649824754651	6
100033451	0.643935918310316	1
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	1.90824912377325	3
100033603	1.93180775493095	3
100033799	0	0
100033800	0	0
100033801	1.2721660825155	2
100033802	0.636083041257751	1
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0.636083041257751	1
100033810	0	0
100033811	0	0
100033812	0	0
100033813	1.2721660825155	2
100033814	0	0
100033815	0	0
100033816	1.2721660825155	2
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0.560847412721888	1
100033821	0	0
100033822	0	0
100034743	0.171494441372451	7
100036563	0	0
100036564	0	0
100036565	0	0
100036566	0.984128478927087	1
100036567	0	0
100037417	3.89828765547678	279
100038246	0	0
10004	1.26175013394262	65
100048912	0.0990905901365673	8
100049076	0.517448505785075	5
100049587	2.93408458175705	121
100049716	1.65087762803765	74
10005	20.2318131322474	474
10006	22.9714247892358	1663
10007	11.7147082191594	599
100073347	0.728927460323323	18
10008	3.27903915665966	193
10009	7.12015379453461	725
100093630	44.2380855026594	525
100093631	1.44885581619821	101
100093698	0.0695760018450008	3
1001	0.890456755137722	73
10010	8.13914593543246	453
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0.0596100678664407	1
100101266	1.16370252010183	28
100101267	2.71900359410734	366
100101467	5.36894290715798	456
100101490	1.92720273048534	31
100101629	0	0
100101938	0.0979902484385263	7
10011	10.9821067284834	443
100113378	0.543320931074329	1
100113379	0	0
100113380	1.08664186214866	2
100113381	6.73016895266266	12
100113382	0	0
100113384	0.592713742990177	1
100113386	2.0886893704252	143
100113389	0.51642385527857	1
100113391	0	0
100113392	0	0
100113393	0.506396207603258	1
100113402	0	0
100113403	0.907109728402358	10
100113404	0	0
100113407	9.07028861613305	1463
100124412	0	0
100124516	31.8748279563606	55
100124533	0	0
100124534	0	0
100124535	0	0
100124536	0	0
100124537	0.389244846142803	1
100124538	0	0
100124539	0	0
100124540	0	0
100124541	0	0
100124700	0	0
100125288	7.29696474703463	277
100125556	0.562221365227331	22
100125918	0.173285081007095	1
100126270	0.448158970245051	26
100126296	0	0
100126297	0	0
100126299	0	0
100126301	0	0
100126302	0	0
100126303	0	0
100126304	0	0
100126306	0	0
100126307	0	0
100126308	0	0
100126309	0	0
100126310	0	0
100126311	0.651985117289195	1
100126313	0	0
100126314	3.63898670114899	6
100126315	0.724427908099106	1
100126316	0	0
100126317	0	0
100126318	0	0
100126319	0	0
100126320	0	0
100126321	41.8558346901705	65
100126323	0	0
100126324	0	0
100126325	0	0
100126326	0	0
100126327	0	0
100126328	0	0
100126329	0.445801789599449	1
100126330	0	0
100126331	0	0
100126332	7.21345236149748	13
100126333	0	0
100126334	1.40969755089556	2
100126335	0	0
100126336	0	0
100126337	0	0
100126338	38.8158581455893	64
100126339	0.445801789599449	1
100126340	0	0
100126341	0	0
100126342	0	0
100126343	0	0
100126345	0	0
100126346	0	0
100126347	0	0
100126348	0.651985117289195	1
100126349	0	0
100126350	0	0
100126351	58.5196397957131	92
100126352	0.445801789599449	1
100126354	0	0
100126355	0	0
100126356	0	0
100126447	0	0
100126582	0	0
100126584	0	0
100126693	0	0
100126780	0	0
100126781	0	0
100126784	2.41333886688485	173
100126791	0	0
100126793	4.9593622036424	203
100126798	0	0
100126799	0	0
100126800	0	0
100127206	0.364110362185938	4
100127888	8.68702587758477	237
100127889	0.177410916269169	4
100127967	0.0136971663296049	1
100127974	15.1667459908408	82
100127983	34.1286036704468	689
100128002	0	0
100128006	0.125953658290373	9
100128023	0	0
100128025	0.0920449577349452	3
100128054	0.703847569800835	19
100128055	1.04590463453541	23
100128071	2.23857551000582	30
100128076	0.129619307612166	5
100128079	4.75191448469026	127
100128081	1.61631151354775	37
100128098	0.18728477336853	2
100128108	0.877540431262008	16
100128124	1.6941345567357	33
100128126	0.0504437228076747	2
100128127	0.501527013299381	22
100128139	0.0907899205972769	2
100128164	0.133893121633834	18
100128176	0.200321879531966	8
100128191	0.379516803483745	23
100128233	0.108513473057841	3
100128239	2.08725987962091	92
100128252	21.5305012372338	736
100128264	1.33146794207782	69
100128276	0.709643665076675	10
100128285	0.116980789196828	8
100128288	5.9533070362151	243
100128292	0.328804704140536	19
100128317	0	0
100128325	0	0
100128327	0	0
100128338	0.171512343605488	9
100128340	1.39653101088097	43
100128361	0.986901787845158	47
100128364	3.23728721431788	143
100128374	0.33401327208614	19
100128378	0	0
100128385	0.0449180239262277	5
100128398	4.289285326183	156
100128420	0	0
100128482	0.0916675033095529	5
100128494	13.8375485323084	1123
100128496	0	0
100128505	0	0
100128511	0.577708331775236	7
100128531	0.482455585249969	9
100128553	0	0
100128554	0.178558115043066	9
100128560	0.025076350664969	2
100128568	0.489754078714888	6
100128569	7.52807558107112	252
100128573	0.596100678664407	6
100128575	0	0
100128590	0.104109399966339	2
100128593	0.0193037784541583	1
100128594	0.263428330217856	3
100128627	0.198862563007598	7
100128640	0.269393930067844	13
100128653	0.773678260318451	36
100128675	0.948958195404676	84
100128682	0	0
100128714	0.74247415492008	28
100128731	115.670460233648	1080
100128750	0.975467282192855	17
100128770	0.119278557883682	7
100128782	1.67777219147585	295
100128787	0	0
100128788	0.380489794892174	12
100128811	0.235818702513149	11
100128818	0.141208282593937	8
100128822	4.47494707787802	122
100128830	0	0
100128881	8.21211146020846	276
100128882	0.818676812780294	45
100128885	0.0835687035207025	7
100128890	0.58277999310766	16
100128893	0	0
100128905	0	0
100128908	0	0
100128927	0.530623026443777	37
100128946	0.116918875329569	9
100128966	0	0
100128977	0.993501131107345	16
100128988	0	0
100128993	0.0514894465776265	1
100128998	0.0419958207593684	1
100129027	0.0145451225273663	1
100129034	16.9055153968441	1852
100129046	0.367315559036166	11
100129055	0	0
100129066	0.0713201586825008	3
100129075	0.241475969366368	7
100129083	10.2314262575972	143
100129094	0	0
100129098	0.0791784582666195	4
100129128	0.410699286481383	5
100129129	1.23396637303142	26
100129138	0.127840219076313	3
100129148	37.9028224367688	335
100129175	0	0
100129195	7.0865354010939	297
100129196	0.534309754656511	21
100129203	0.771737485770884	29
100129213	5.96934491922966	225
100129215	0.359578157371291	18
100129216	0.489754078714888	2
100129223	0.662998747803697	76
100129239	0	0
100129250	3.49458246697642	121
100129269	0.845635690388061	25
100129271	0	0
100129278	0	0
100129307	0	0
100129316	0.139116656765841	14
100129345	0	0
100129354	0.206161301909627	4
100129361	6.94013909973953	644
100129385	0.301496007995003	3
100129387	2.87320815157162	228
100129396	0	0
100129405	2.89901047221372	124
100129407	0	0
100129424	0.965903877465474	21
100129427	0	0
100129434	0.716428569496341	51
100129455	0	0
100129460	3.64536082393959	133
100129461	0.1400236493507	12
100129464	2.32160872625233	30
100129473	2.35157972828623	61
100129476	0	0
100129480	3.59573408584215	87
100129482	4.26890543654481	710
100129484	0.782661662769451	56
100129503	1.48941728921608	51
100129515	0	0
100129516	0.860233249859301	30
100129518	0.546483451045658	18
100129520	0	0
100129528	0	0
100129534	1.39213904047515	60
100129543	0.113954951835814	7
100129550	2.37647691803243	269
100129583	3.93557396491663	158
100129597	0	0
100129603	0	0
100129617	1.32905962546731	49
100129620	0.102513383221572	5
100129636	0	0
100129637	4.1121576442327	326
100129654	0.106446549761501	5
100129662	0.0623163791913209	1
100129669	0	0
100129697	0.486747238840656	19
100129716	0.104234231381166	5
100129722	0.367963381891609	12
100129726	0.221952380353768	7
100129781	1.27909886770632	27
100129792	68.8627764098745	4609
100129794	0.855062448903862	29
100129800	0.0913864378153931	4
100129827	2.37612353856507	41
100129836	0.164761581986439	7
100129842	1.33435053698291	224
100129845	0.472676365568211	23
100129858	0.646489952691319	25
100129860	0	0
100129917	2.239760638217	73
100129924	0.159182531179458	3
100129931	26.6131227410696	2194
100129935	0	0
100129940	0.0504762671449699	6
100129961	0.705350447174076	19
100129973	1.13239520371281	33
10013	16.520735928528	1457
100130015	6.15356739913397	252
100130017	0	0
100130075	0.246497208804989	5
100130083	0.0343375966972585	1
100130086	0	0
100130093	2.73833749261462	126
100130148	0.622585257888886	36
100130155	7.38928516628286	1022
100130197	6.34122511336066	71
100130207	0.460563438261683	4
100130231	0.08602332498593	9
100130238	0.161440730615844	12
100130249	0	0
100130256	0.0336725690013787	1
100130264	0.029155287525509	1
100130274	0.0395142495326785	1
100130275	0.119997260850772	3
100130285	0.502432841740018	16
100130298	1.93180775493095	19
100130301	0.0767041314457877	1
100130302	0.0195791326513272	1
100130311	1.13388716050295	67
100130331	0.0166801437106286	1
100130342	0	0
100130348	1.32434476949368	13
100130357	1.13142753542593	50
100130361	0	0
100130370	11.7373012691292	187
100130373	2.00051221483435	110
100130386	0.0202244317111809	1
100130417	0.692680071489184	20
100130418	1.03322659819858	54
100130449	3.38760735210251	131
100130451	0.0604389448240273	2
100130452	0	0
100130458	0	0
100130460	0.0511862702484157	1
100130476	0.0796317700505887	3
100130480	0.0864988546984007	1
100130502	0.11322462239465	3
100130519	1.91879557834333	71
100130520	0	0
100130522	0.642040468724709	46
100130539	0.328929428542297	7
100130548	0.195922071973381	9
100130557	3.22919090147005	197
100130581	0.403136967271337	34
100130587	0.606126836868242	38
100130613	0	0
100130673	0.130560223737511	4
100130691	0.821556352173861	82
100130698	0.0237085497196071	2
100130700	0.0867867044644519	1
100130705	3.53851507253457	258
100130717	0.999849381146369	12
100130733	0.208728005535002	9
100130742	0.591369720897229	15
100130744	4.63589263851648	231
100130771	4.64240711787071	68
100130776	52.0225355506519	1527
100130827	0.0410699286481383	1
100130849	0	0
100130855	3.11983586902611	103
100130872	0.387447489896811	37
100130876	0	0
100130880	0.0903965500574274	1
100130887	2.56518734671159	54
100130889	0.175915040078029	2
100130890	1.2914148127874	54
100130894	8.99370579394884	384
100130899	0.0245684453052923	2
100130933	0.726590379466566	14
100130934	0.815689460379184	18
100130935	0.27633806295701	4
100130938	0.423481537616798	6
100130950	2.86752713622563	95
100130954	0.0197721036327277	1
100130958	2.85475809622635	48
100130964	0	0
100130967	0.0877355918976209	2
100130987	0.859086272192822	14
100130988	0.0371501491332875	1
