#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	2.38532694807968	19
10	0.16834461856327	1
100	6.64407405980459	46
1000	23.0865731753621	469
10000	15.0953731686438	550
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	0.318091625032751	4
10001	6.07928996043066	66
10002	0.314928782170209	4
10003	6.22674507861983	99
100033413	0	0
100033414	0	0
100033415	0	0
100033416	9.04938214889091	4
100033417	0	0
100033418	0	0
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	0	0
100033425	0	0
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	4.71723112016654	2
100033431	0	0
100033432	0	0
100033433	0	0
100033434	0	0
100033435	0	0
100033436	0	0
100033437	0	0
100033438	0	0
100033439	0	0
100033440	0	0
100033441	0	0
100033442	5.40755762555676	2
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0	0
100033448	0	0
100033449	0	0
100033450	0	0
100033451	0	0
100033453	0	0
100033454	0	0
100033455	0	0
100033456	0	0
100033458	0	0
100033460	0	0
100033603	0	0
100033799	0	0
100033800	0	0
100033801	0	0
100033802	0	0
100033803	0	0
100033804	0	0
100033805	0	0
100033806	0	0
100033807	0	0
100033808	0	0
100033809	0	0
100033810	0	0
100033811	0	0
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0	0
100033816	0	0
100033817	0	0
100033818	0	0
100033819	0	0
100033820	0	0
100033821	0	0
100033822	0	0
100034743	0	0
100036563	0	0
100036564	0	0
100036565	0	0
100036566	0	0
100036567	0	0
100037417	6.29553855897929	106
100038246	0	0
10004	0.742608397406195	9
100048912	0	0
100049076	0	0
100049587	1.23687510542721	12
100049716	2.18106366163389	23
10005	11.6116458342561	64
10006	27.3614396170253	466
10007	15.7948533569881	190
100073347	0.172134986527816	1
10008	3.10538244099562	43
10009	7.47242805760894	179
100093630	109.601321438183	306
100093631	0.914644647887076	15
100093698	0	0
1001	0.259249137801482	5
10010	3.97137886933759	52
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0	0
100101266	0.529983735413133	3
100101267	1.51574895415122	48
100101467	6.50615849756604	130
100101490	0.792764705534543	3
100101629	0	0
100101938	0.119006904266145	2
10011	12.6450492004464	120
100113378	0	0
100113379	0	0
100113380	0	0
100113381	11.9198850885929	5
100113382	0	0
100113384	0	0
100113386	1.98675878037818	32
100113389	0	0
100113391	0	0
100113392	0	0
100113393	0	0
100113402	0	0
100113403	1.54232947928923	4
100113404	0	0
100113407	12.3069661068032	467
100124412	0	0
100124516	22.1709862647827	9
100124533	0	0
100124534	1.6669914484799	1
100124535	0	0
100124536	0	0
100124537	3.30910242757951	2
100124538	0	0
100124539	0	0
100124540	0	0
100124541	0	0
100124700	0	0
100125288	3.91911373367371	35
100125556	1.0862805617238	10
100125918	0	0
100126270	0.0732682956536111	1
100126296	0	0
100126297	0	0
100126299	0	0
100126301	0	0
100126302	0	0
100126303	0	0
100126304	0	0
100126306	0	0
100126307	0	0
100126308	0	0
100126309	0	0
100126310	0	0
100126311	0	0
100126313	0	0
100126314	7.734064976087	3
100126315	0	0
100126316	0	0
100126317	0	0
100126318	0	0
100126319	0	0
100126320	0	0
100126321	2.73715879812132	1
100126323	0	0
