#ID_REF=ID in platform
#VALUE=Size-factor-adjusted RPKM (nRPKM)
#count=Number of reads uniquely aligning to gene model
ID_REF	VALUE	count
1	1.72604181114907	66
10	0.45588536734498	13
100	2.31675666334689	77
1000	17.3602770485572	1693
10000	15.4882814386763	2709
100008586	0	0
100008587	0	0
100008588	0	0
100008589	0	0
100009613	0	0
100009676	0.662621155273523	40
10001	6.02492483593073	314
10002	0.278813851876278	17
10003	7.17991846762138	548
100033413	0	0
100033414	0	0
100033415	0	0
100033416	3.29890675161175	7
100033417	0	0
100033418	0.942544786174787	2
100033419	0	0
100033420	0	0
100033421	0	0
100033422	0	0
100033423	0	0
100033424	1.47397961242227	3
100033425	0.491326537474091	1
100033426	0	0
100033427	0	0
100033428	0	0
100033429	0	0
100033430	0.491326537474091	1
100033431	0.491326537474091	1
100033432	0.982653074948182	2
100033433	0.491326537474091	1
100033434	0	0
100033435	0.982653074948182	2
100033436	0	0
100033437	0	0
100033438	0.942544786174787	2
100033439	1.47397961242227	3
100033440	0	0
100033441	0.563227981982495	1
100033442	0	0
100033443	0	0
100033444	0	0
100033445	0	0
100033446	0	0
100033447	0.570181413858822	1
100033448	0.563227981982495	1
100033449	0	0
100033450	1.12645596396499	2
100033451	0	0
100033453	0.570181413858822	1
100033454	0	0
100033455	0.563227981982495	1
100033456	0.563227981982495	1
100033458	0.563227981982495	1
100033460	1.12645596396499	2
100033603	1.71054424157647	3
100033799	1.12645596396499	2
100033800	0	0
100033801	0	0
100033802	1.12645596396499	2
100033803	0.563227981982495	1
100033804	0	0
100033805	0.563227981982495	1
100033806	0	0
100033807	0.563227981982495	1
100033808	0	0
100033809	0	0
100033810	0.563227981982495	1
100033811	0.563227981982495	1
100033812	0	0
100033813	0	0
100033814	0	0
100033815	0	0
100033816	0	0
100033817	0.563227981982495	1
100033818	0	0
100033819	0	0
100033820	0	0
100033821	0	0
100033822	0	0
100034743	0.216931397475644	10
100036563	0	0
100036564	0.607693348981113	1
100036565	0	0
100036566	10.4569119673731	12
100036567	2.79907239530694	2
100037417	4.52815381603499	366
100038246	0	0
10004	0.80784541963548	47
100048912	0.175482097449782	16
100049076	0.274908895967646	3
100049587	2.51213819578803	117
100049716	3.10136742516794	157
10005	16.6295135760462	440
10006	27.7890958567973	2272
10007	14.2173356591772	821
100073347	1.11158814456483	31
10008	2.07605467234981	138
10009	8.10471385709474	932
100093630	68.1205591261736	913
100093631	0.965356651186718	76
100093698	0.0410713157159311	2
1001	0.907276506055992	84
10010	7.77964713108304	489
100101115	0	0
100101116	0	0
100101117	0	0
100101118	0	0
100101120	0	0
100101121	0	0
100101148	0	0
100101266	0.66240996127981	18
100101267	2.33521813922667	355
100101467	5.80696949188904	557
100101490	2.25693978000613	41
100101629	0	0
100101938	0	0
10011	10.5144813100325	479
100113378	1.92436227177352	4
100113379	1.01504823126516	2
100113380	0.481090567943381	1
100113381	4.966096185222	10
100113382	0	0
100113384	0	0
100113386	1.33212644520419	103
100113389	0.457274203193708	1
100113391	0	0
100113392	0	0
100113393	0	0
100113402	0	0
100113403	1.52610294944126	19
100113404	0	0
100113407	9.02503717997101	1644
100124412	0	0
100124516	12.8290818118235	25
100124533	0	0
100124534	0	0
100124535	0.360817925957536	1
100124536	0.349884049413368	1
100124537	0.344661899422124	1
100124538	0	0
100124539	0	0
100124540	0	0
100124541	0	0
100124700	0	0
100125288	3.84872454354705	165
100125556	0.791996231401156	35
100125918	0	0
100126270	0.18315146539021	12
100126296	0	0
100126297	1.6693263080445	3
100126299	0	0
100126301	0	0
100126302	0	0
100126303	0	0
100126304	0	0
100126306	0	0
100126307	0.599801227565773	1
100126308	0	0
100126309	0	0
100126310	0	0
100126311	0	0
100126313	0	0
100126314	0.537031331657727	1
100126315	0	0
100126316	0	0
100126317	1.28290818118235	2
100126318	0	0
100126319	0	0
100126320	0	0
100126321	31.3599777622352	55
100126323	0	0
100126324	0	0
100126325	0	0
100126326	0	0
100126327	0	0
100126328	2.45663268737046	5
100126329	0	0
100126330	0	0
100126331	0	0
100126332	8.35255113705955	17
100126333	0.524826074120052	1
100126334	0	0
100126335	0	0
100126336	0	0
100126337	0	0
100126338	13.9628146231009	26
100126339	0	0
100126340	0	0
100126341	0	0
100126342	0	0
100126343	0.592111468238007	1
100126345	0	0
100126346	0	0
100126347	0	0
100126348	0	0
100126349	0	0
100126350	0.599801227565773	1
100126351	23.0923472612823	41
100126352	0	0
100126354	0	0
100126355	0	0
100126356	0	0
100126447	0	0
100126582	0	0
100126584	0	0
100126693	0	0
100126780	0	0
100126781	0.375485321321663	1
100126784	3.19920724293774	259
100126791	0.0315469224880905	1
100126793	4.02358462819532	186
100126798	0	0
100126799	0	0
100126800	0	0
100127206	0	0
100127888	3.60260090794425	111
100127889	0.353454294815545	9
100127967	0	0
100127974	13.4295920242918	82
100127983	106.404623847808	2426
100128002	0.0641454090591174	4
100128006	0.024783844659278	2
100128023	0	0
100128025	0.0815024020986433	3
100128054	0.688834222282568	21
100128055	0.483187736940519	12
100128071	0.991087865291085	15
100128076	0.183636956352145	8
100128079	3.27997471860394	99
100128081	2.12743567733756	55
100128098	0.0829168662882667	1
100128108	0.339950432868509	7
100128124	0.409116388487285	9
